127.0.0.1 - - [23/Nov/2017:00:17:03 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/menuload.js HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/jquery.ajax.custom.extend.js HTTP/1.1" 200 9230
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/My97DatePicker/WdatePicker.js HTTP/1.1" 200 7415
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/jquery.easyui.min.1.2.2.js HTTP/1.1" 200 236999
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidatorRegex.js HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidator-4.1.3.js HTTP/1.1" 200 47734
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/images/blocks.gif HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/images/layout-browser-hd-bg.gif HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_title.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/layout_button_left.gif HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_leftarrow.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_rightarrow.png HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_enabled.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_active.png HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_collapse.png HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/images/tabicons.png HTTP/1.1" 200 298830
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_expand.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/images/welcome.gif HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:43 +0800] "GET /yycgptproject/styles/SystemStyle.css HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/config.js HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/calendar.js HTTP/1.1" 200 22088
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/lang/zh-cn.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/datepicker.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/bg.gif HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navLeft.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/left.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navRight.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/right.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:44 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/qs.jpg HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_close.gif HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/styles/default.css HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/styles/style.css HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/icon.css HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/formvalidator/style/validator.css HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/easyui.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/datagrid_header_bg.gif HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_a_bg.gif HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_span_bg.gif HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_first.gif HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_prev.gif HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_next.gif HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_last.gif HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_load.png HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/user/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:46 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:18:48 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_plain_hover.png HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:01 +0800] "POST /yycgptproject/user/queryuser_result.action HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_tools.gif HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/easyui/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/user/addsysuser.action HTTP/1.1" 200 7243
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/easyui/styles/default.css HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/styles/style.css HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/easyui/themes/icon.css HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/formvalidator/style/validator.css HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/easyui/themes/default/easyui.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/user/images/r_0.gif HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/easyui/themes/icons/cancel.png HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/easyui/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:14 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:15 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:15 +0800] "GET /yycgptproject/js/easyui/themes/default/images/messager_error.gif HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:22 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5649
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:26 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5649
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:31 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5649
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:34 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:37 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5658
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:19:42 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:20:18 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:20:30 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:23:36 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:23:42 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:35:27 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 5658
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:35:38 +0800] "POST /yycgptproject/user/addsysusersubmit.action HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/styles/style.css HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/easyui/styles/default.css HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/easyui/themes/icon.css HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/formvalidator/style/validator.css HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/easyui/themes/default/easyui.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/jquery.form.min.js HTTP/1.1" 200 14618
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/custom.jquery.form.js HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/custom.box.main.js HTTP/1.1" 200 15698
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/jquery.ajax.custom.extend.js HTTP/1.1" 200 9230
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/menuload.js HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/My97DatePicker/WdatePicker.js HTTP/1.1" 200 7415
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/jquery-1.4.4.min.js HTTP/1.1" 200 78601
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidatorRegex.js HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/easyui/jquery.easyui.min.1.2.2.js HTTP/1.1" 200 236999
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidator-4.1.3.js HTTP/1.1" 200 47734
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:02 +0800] "GET /yycgptproject/images/blocks.gif HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/images/layout-browser-hd-bg.gif HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_title.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/layout_button_left.gif HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_leftarrow.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_rightarrow.png HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_enabled.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_active.png HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_collapse.png HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_expand.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/easyui/images/tabicons.png HTTP/1.1" 200 298830
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/styles/SystemStyle.css HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/images/welcome.gif HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/config.js HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/calendar.js HTTP/1.1" 200 22088
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/lang/zh-cn.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/datepicker.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/bg.gif HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navLeft.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/left.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navRight.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/right.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:03 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/qs.jpg HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:06 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_close.gif HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:07 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:07 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:07 +0800] "GET /yycgptproject/styles/body.css HTTP/1.1" 200 22620
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:07 +0800] "GET /yycgptproject/images/info.png HTTP/1.1" 200 20940
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:07 +0800] "GET /yycgptproject/images/whole_btn_bg.gif HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:07 +0800] "GET /yycgptproject/images/query_title.gif HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:07 +0800] "GET /yycgptproject/images/green_arrow.gif HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:15 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:15 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:15 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:15 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/datepicker.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:15 +0800] "GET /yycgptproject/styles/SystemStyle.css HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:16 +0800] "GET /yycgptproject/styles/body.css HTTP/1.1" 200 22620
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:16 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:16 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:16 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:26 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:26 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:43:26 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/easyui/styles/default.css HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/styles/style.css HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/formvalidator/style/validator.css HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/easyui/themes/icon.css HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/easyui/themes/default/easyui.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/jquery.form.min.js HTTP/1.1" 200 14618
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/custom.box.main.js HTTP/1.1" 200 15698
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/custom.jquery.form.js HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/jquery-1.4.4.min.js HTTP/1.1" 200 78601
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/jquery.ajax.custom.extend.js HTTP/1.1" 200 9230
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/menuload.js HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [23/Nov/2017:00:44:22 +0800] "GET /yycgptproject/js/easyui/jquery.easyui.min.1.2.2.js HTTP/1.1" 200 236999
