0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/layout_button_left.gif HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_title.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_rightarrow.png HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_leftarrow.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_enabled.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_active.png HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_collapse.png HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_expand.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/easyui/images/tabicons.png HTTP/1.1" 200 298830
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/styles/SystemStyle.css HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/images/welcome.gif HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/My97DatePicker/config.js HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/My97DatePicker/calendar.js HTTP/1.1" 200 22088
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/My97DatePicker/lang/zh-cn.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:27 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/datepicker.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:28 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/left.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:28 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navLeft.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:28 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/bg.gif HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:28 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navRight.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:28 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/right.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:28 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/qs.jpg HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:26:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:31 +0800] "GET /yycgptproject/login.action HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:31 +0800] "GET /yycgptproject/styles/login.css HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:31 +0800] "GET /yycgptproject/images/login/bg2.png HTTP/1.1" 200 340657
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:31 +0800] "GET /yycgptproject/images/login/bg1.jpg HTTP/1.1" 200 14802
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:31 +0800] "GET /yycgptproject/images/login/btnbg.jpg HTTP/1.1" 200 16190
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:31 +0800] "GET /yycgptproject/js/jqueryvalidator/themes/Default/js/theme.js HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:31 +0800] "GET /yycgptproject/js/jqueryvalidator/themes/Default/style/style.css HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:44:32 +0800] "GET /yycgptproject/validatecode.jsp HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:03 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_tools.gif HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/messager_error.gif HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_a_bg.gif HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:03 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_span_bg.gif HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:03 +0800] "GET /yycgptproject/validatecode.jsp?time1512971103242 HTTP/1.1" 200 1724
